,COUNTRY,ISO3,WHO_REGION,DATE_UPDATED,TOTAL_VACCINATIONS,PERSONS_VACCINATED_1PLUS_DOSE,TOTAL_VACCINATIONS_PER100,PERSONS_VACCINATED_1PLUS_DOSE_PER100,PERSONS_FULLY_VACCINATED,PERSONS_FULLY_VACCINATED_PER100,VACCINES_USED,NUMBER_VACCINES_TYPES_USED
112,Lao People's Democratic Republic,LAO,WPRO,05/06/2022,11130131,5786537.0,152.98,79.534,4939064.0,67.886,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Gamaleya - Sputnik-Light,Janssen - Ad26.COV 2-S,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",8.0
113,Latvia,LVA,EURO,22/05/2022,2826513,1300851.0,148.2,68.19,1268859.0,66.513,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Novavax-NUVAXOVID,Pfizer BioNTech - Comirnaty",5.0
114,Lebanon,LBN,EMRO,30/05/2022,5634462,2686207.0,82.551,39.356,2362812.0,34.618,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,CanSino - Convidecia,Gamaleya - Gam-Covid-Vac,Gamaleya - Sputnik-Light,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",10.0
115,Lesotho,LSO,AFRO,05/06/2022,948906,1014456.0,44.295,47.355,739962.0,34.541,"Beijing CNBG - BBIBP-CorV,Janssen - Ad26.COV 2-S,SII - Covishield",3.0
116,Liberia,LBR,AFRO,05/06/2022,1996703,1751520.0,39.479,34.631,1438154.0,28.435,SII - Covishield,1.0
117,Libya,LBY,EMRO,05/06/2022,3514582,2246087.0,51.149,32.688,1167540.0,16.992,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,CanSino - Convidecia,Gamaleya - Gam-Covid-Vac,Gamaleya - Sputnik-Light,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",10.0
118,Liechtenstein,LIE,OTHER,10/04/2022,71104,26681.0,183.5,68.86,26346.0,67.995,"Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",3.0
119,Lithuania,LTU,EURO,29/05/2022,4472293,1951055.0,160.1,69.982,1900995.0,68.036,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,Unknown Vaccine",5.0
120,Luxembourg,LUX,EURO,29/05/2022,1264619,469087.0,202.0,74.921,462034.0,73.795,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Novavax-NUVAXOVID,Pfizer BioNTech - Comirnaty",5.0
121,Madagascar,MDG,AFRO,05/06/2022,2369775,1290584.0,8.558,4.661,1199011.0,4.33,"Beijing CNBG - BBIBP-CorV,Janssen - Ad26.COV 2-S,SII - Covishield",3.0
122,Malawi,MWI,AFRO,05/06/2022,2166402,1596607.0,11.325,8.346,1139589.0,5.957,"Janssen - Ad26.COV 2-S,SII - Covishield",2.0
123,Malaysia,MYS,WPRO,05/06/2022,70973991,27997736.0,219.286,86.504,27086354.0,83.688,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,CanSino - Convidecia,Gamaleya - Gam-Covid-Vac,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",8.0
