,COUNTRY,ISO3,WHO_REGION,DATE_UPDATED,TOTAL_VACCINATIONS,PERSONS_VACCINATED_1PLUS_DOSE,TOTAL_VACCINATIONS_PER100,PERSONS_VACCINATED_1PLUS_DOSE_PER100,PERSONS_FULLY_VACCINATED,PERSONS_FULLY_VACCINATED_PER100,VACCINES_USED,NUMBER_VACCINES_TYPES_USED
189,Slovenia,SVN,EURO,29/05/2022,2957844,1237811.0,141.1,59.06,1206827.0,57.581,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Novavax-NUVAXOVID,Pfizer BioNTech - Comirnaty",5.0
190,Solomon Islands,SLB,WPRO,05/06/2022,451057,275560.0,65.667,40.117,172833.0,25.162,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Pfizer BioNTech - Comirnaty,SII - Covishield",4.0
191,Somalia,SOM,EMRO,05/06/2022,3724063,2298052.0,23.432,14.459,1426011.0,8.972,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,CanSino - Convidecia,Gamaleya - Gam-Covid-Vac,Gamaleya - Sputnik-Light,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",11.0
192,South Africa,ZAF,AFRO,05/06/2022,36240713,23019199.0,61.105,38.813,20040729.0,33.791,"Janssen - Ad26.COV 2-S,Pfizer BioNTech - Comirnaty",2.0
193,South Sudan,SSD,AFRO,05/06/2022,1059464,1009259.0,9.465,9.016,967199.0,8.641,"Janssen - Ad26.COV 2-S,SII - Covishield",2.0
194,Spain,ESP,EURO,29/05/2022,101671001,41212271.0,214.8,87.07,37367206.0,78.946,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",4.0
195,Sri Lanka,LKA,SEARO,07/06/2022,39576548,17072957.0,184.823,79.731,14516137.0,67.79,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield",6.0
196,Sudan,SDN,EMRO,05/06/2022,9710092,5929766.0,22.144,13.523,3742065.0,8.534,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,CanSino - Convidecia,Gamaleya - Gam-Covid-Vac,Gamaleya - Sputnik-Light,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",11.0
197,Suriname,SUR,AMRO,03/06/2022,554588,267820.0,94.538,45.654,237879.0,40.55,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield",5.0
198,Sweden,SWE,EURO,29/05/2022,21818451,7555967.0,211.3,73.163,7390018.0,71.556,"AstraZeneca - Vaxzevria,Moderna - Spikevax,Novavax-NUVAXOVID,Pfizer BioNTech - Comirnaty,Unknown Vaccine",5.0
